id,index,lat,lon,yEdId,domain,refName,type
Gate_02_010,17,39.17672638439042,-76.66892006191304,n17,Gate,null,null
Gate_02_011,18,39.17700376732714,-76.66921537810326,n18,Gate,null,null
Gate_02_012,19,39.17730621482401,-76.66949453079405,n19,Gate,null,null
Gate_02_013,20,39.17762704294574,-76.66973704108233,n20,Gate,null,null
Gate_02_014,21,39.17804492723106,-76.67001289164622,n21,Gate,null,null
Gate_02_015,22,39.1784038569567,-76.66990681448237,n22,Gate,null,null
Gate_03_001,23,39.17862568420303,-76.66838328008535,n23,Gate,null,null
Gate_03_002,24,39.1783143415722,-76.66810632919939,n24,Gate,null,null
Gate_03_003,25,39.17801879774603,-76.66780899921781,n25,Gate,null,null
Gate_03_004,26,39.17770466564,-76.66752725768788,n26,Gate,null,null
Gate_03_005,27,39.17739146173749,-76.66718557359142,n27,Gate,null,null
Gate_03_006,28,39.17710428116178,-76.66700214635578,n28,Gate,null,null
Gate_03_007,29,39.17682174368145,-76.66654057766513,n29,Gate,null,null
Gate_03_008,30,39.17691467677234,-76.66620248701669,n30,Gate,null,null
Gate_03_009,31,39.17721183323999,-76.6659569378563,n31,Gate,null,null
Gate_03_010,32,39.17745905055763,-76.66605643899277,n32,Gate,null,null
Gate_03_011,33,39.17775235912743,-76.66640620009102,n33,Gate,null,null
Gate_03_012,34,39.1782597246613,-76.6668839639645,n34,Gate,null,null
Gate_03_013,35,39.17863220202785,-76.66728232935958,n35,Gate,null,null
Gate_03_014,36,39.17894463099987,-76.66755548086533,n36,Gate,null,null
Gate_03_015,37,39.17922436863838,-76.66786423716411,n37,Gate,null,null
Gate_04_001,38,39.17996968739276,-76.6667893860157,n38,Gate,null,null
Gate_04_002,39,39.17986542740704,-76.66620424181491,n39,Gate,null,null
Gate_04_003,40,39.1794913728161,-76.6658490674457,n40,Gate,null,null
Gate_04_004,41,39.17918501152024,-76.66547982563587,n41,Gate,null,null
Gate_04_005,42,39.17885853164911,-76.66515895610776,n42,Gate,null,null
Gate_04_006,43,39.17857594734429,-76.66487937714044,n43,Gate,null,null
Gate_04_007,44,39.17844241933412,-76.66445704786491,n44,Gate,null,null
Gate_04_008,45,39.17861981935508,-76.66413969667792,n45,Gate,null,null
Gate_04_009,46,39.1789033064324,-76.66402524811465,n46,Gate,null,null
Gate_04_010,47,39.17938250983943,-76.66436615960743,n47,Gate,null,null
Gate_04_011,48,39.1799068717509,-76.66489723049112,n48,Gate,null,null
Gate_04_012,49,39.18032548201901,-76.66470221214038,n49,Gate,null,null
Gate_04_013,50,39.18060351484072,-76.66426713669826,n50,Gate,null,null
Gate_04_014,51,39.18078214080384,-76.66385431722466,n51,Gate,null,null
Gate_04_015,52,39.18109344496098,-76.66344260544273,n52,Gate,null,null
Gate_04_016,53,39.18154472203941,-76.66389235436867,n53,Gate,null,null
Gate_04_017,54,39.18131908145618,-76.66426631446897,n54,Gate,null,null
Gate_04_018,55,39.18111544543316,-76.66467193582385,n55,Gate,null,null
Gate_04_019,56,39.1809118163603,-76.66501038864584,n56,Gate,null,null
Gate_04_020,57,39.18073478780963,-76.66535120520668,n57,Gate,null,null
Gate_04_021,58,39.18049905504167,-76.6658600592361,n58,Gate,null,null
Gate_04_022,59,39.18058437316022,-76.66643753623067,n59,Gate,null,null
Gate_04_023,60,39.18080065618838,-76.66688833478301,n60,Gate,null,null
Gate_05_001,61,39.18146801754594,-76.66747332686218,n61,Gate,null,null
Gate_05_002,62,39.18217020692141,-76.66748753589681,n62,Gate,null,null
Gate_05_003,63,39.1826544992698,-76.66703200364763,n63,Gate,null,null
Gate_05_004,64,39.18295739852601,-76.6665367095811,n64,Gate,null,null
Gate_05_005,65,39.1832072264865,-76.66757757512205,n65,Gate,null,null
Gate_05_006,66,39.18290182934391,-76.66829625425163,n66,Gate,null,null
Txy_F_001,67,39.17549139325754,-76.68935479520125,n67,Txy,null,null
Rwy_01_001,68,39.17472904648147,-76.68943915638765,n68,Rwy,null,null
Rwy_01_002,69,39.17462292380652,-76.68756369225639,n69,Rwy,RW10 ,Entry
Txy_F1_001,70,39.17544168590609,-76.68749986899871,n70,Txy,null,null
Txy_F_F1,71,39.17578186117529,-76.68774287473897,n71,Txy,null,null
Txy_F_G,72,39.17695257034036,-76.68087194901157,n72,Txy,null,null
Rwy_01_003,73,39.17429314729885,-76.68178990948526,n73,Rwy,null,null
Txy_G_002,74,39.17352253411414,-76.68185345847373,n74,Txy,null,null
Txy_G_003,75,39.17319940744216,-76.68189326372121,n75,Txy,null,null
Txy_G_001,76,39.17507278693118,-76.68171167613457,n76,Txy,null,null
Rwy_01_004,77,39.17401520419241,-76.67686421359384,n77,Rwy,null,null
Txy_R1_001,78,39.17479650348898,-76.6767878362383,n78,Txy,null,null
Txy_R1_002,79,39.17324237472355,-76.67693786087823,n79,Txy,null,null
Txy_R1_003,80,39.17292053979279,-76.67696240148258,n80,Txy,null,null
Txy_R_R1,81,39.17510604773246,-76.67676550626547,n81,Txy,null,null
Txy_R_001,82,39.17514394668306,-76.67732389457976,n82,Txy,null,null
Txy_G_R,83,39.17538722794781,-76.6816858841878,n83,Txy,null,null
Txy_G_004,84,39.17265529505907,-76.6819453362119,n84,Txy,null,null
Rwy_01_02,85,39.1736909079322,-76.67117930715318,n85,Rwy,null,null
