********* TRAJECTORY OUTPUT DATA *********
** Output Format:
** simulation_start_time
** 
** AC,flight_index,callsign,actype,origin_airport,destination_airport,start_time,simulation_interval_ground,simulation_interval_airborne,cruise_altitude_ft,cruise_tas_knots,origin_airport_elevation_ft,destination_airport_elevation_ft,number_of_trajectory_rec
** timestamp(UTC sec),latitude_deg,longitude_deg,altitude_ft,rocd_fps,tas_knots,tas_knots_ground,course_deg,fpa_deg,sector_index,sector_name,flight_mode

1121238282

AC,0,SWA1898,B733,KSFO,KPHX,0,1,30,33000,430,13,1135,24
0,37.6206092834472656,-122.386474609375,13,0,0,0,-57.0353012084960938,0,110,ZOANC403M8,FLIGHT_PHASE_ORIGIN_GATE
30,37.6206092834472656,-122.386474609375,13,0,5,5,-57.0332183837890625,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
60,37.6203842163085938,-122.386039733886719,13,0,5,5,28.5052833557128906,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
90,37.6205024719238281,-122.385711669921875,13,0,5,5,47.4975929260253906,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
120,37.6208267211914062,-122.385414123535156,13,0,18,18,117.580108642578125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
150,37.6206855773925781,-122.384475708007812,13,0,18,18,117.116691589355469,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
180,37.6200065612792969,-122.3828125,13,0,18,18,119.34307861328125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
210,37.6193046569824219,-122.381172180175781,13,0,18,18,103.229133605957031,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
240,37.6187667846679688,-122.37945556640625,13,0,18,18,111.832664489746094,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
270,37.6180496215820312,-122.377838134765625,13,0,18,18,111.006866455078125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
300,37.6175003051757812,-122.3760986328125,13,0,18,18,117.934127807617188,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
330,37.6168937683105469,-122.374397277832031,13,0,18,18,118.405128479003906,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
360,37.6161994934082031,-122.372756958007812,13,0,18,18,117.568305969238281,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
390,37.6155052185058594,-122.371109008789062,13,0,18,18,131.10369873046875,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
420,37.6148147583007812,-122.369461059570312,13,0,18,18,131.094940185546875,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
450,37.6138420104980469,-122.368057250976562,13,0,18,18,118.025924682617188,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
480,37.6131134033203125,-122.366439819335938,13,0,18,18,118.039833068847656,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
510,37.6124191284179688,-122.364791870117188,13,0,18,18,118.052879333496094,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
540,37.611724853515625,-122.363143920898438,13,0,18,18,118.079368591308594,0,115,ZOANC302M5,FLIGHT_PHASE_TAXI_DEPARTING
570,37.6110305786132812,-122.361495971679688,13,0,18,18,70.9310150146484375,0,115,ZOANC302M5,FLIGHT_PHASE_TAXI_DEPARTING
600,37.6104736328125,-122.359832763671875,13,0,18,18,27.2955436706542969,0,115,ZOANC302M5,FLIGHT_PHASE_TAXI_DEPARTING
630,37.6115188598632812,-122.358680725097656,13,0,18,18,27.5222606658935547,0,115,ZOANC302M5,FLIGHT_PHASE_TAXI_DEPARTING
660,37.6128273010253906,-122.357810974121094,13,0,0,0,-62.0930519104003906,0,115,ZOANC302M5,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
690,37.6136016845703125,-122.357284545898438,13,0,41.7222023010253906,41.7222023010253906,-35.3820419311523438,0,115,ZOANC302M5,FLIGHT_PHASE_TAKEOFF

AC,1,SWA1899,B733,KSFO,KPHX,65,1,30,33000,430,13,1135,27
90,37.6253623962402344,-122.399147033691406,13,0,0,0,-55.5979385375976562,0,110,ZOANC403M8,FLIGHT_PHASE_ORIGIN_GATE
120,37.6253623962402344,-122.399147033691406,13,0,5,5,-55.6233901977539062,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
150,37.6251296997070312,-122.398719787597656,13,0,5,5,-55.6992721557617188,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
180,37.6248970031738281,-122.398292541503906,13,0,18,18,67.6309890747070312,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
210,37.62481689453125,-122.397621154785156,13,0,18,18,67.6806869506835938,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
240,37.6253776550292969,-122.395896911621094,13,0,18,18,119.453125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
270,37.6255722045898438,-122.394195556640625,13,0,18,18,119.506729125976562,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
300,37.6248435974121094,-122.392570495605469,13,0,18,18,118.039726257324219,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
330,37.6241378784179688,-122.390937805175781,13,0,18,18,118.277359008789062,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
360,37.6234474182128906,-122.3892822265625,13,0,18,18,155.6072998046875,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
390,37.6224746704101562,-122.38800048828125,13,0,18,18,117.726982116699219,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
420,37.6215896606445312,-122.386611938476562,13,0,18,18,116.693840026855469,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
450,37.6208915710449219,-122.384971618652344,13,0,18,18,117.116691589355469,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
480,37.620208740234375,-122.383308410644531,13,0,18,18,119.34307861328125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
510,37.6195182800292969,-122.381660461425781,13,0,18,18,145.446197509765625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
540,37.6186981201171875,-122.380142211914062,13,0,18,18,179.91119384765625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
570,37.6173667907714844,-122.379562377929688,13,0,18,18,-153.7152099609375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
600,37.6159820556640625,-122.380081176757812,13,0,18,18,-152.345062255859375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
630,37.6146659851074219,-122.380928039550781,13,0,18,18,-152.20062255859375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
660,37.6136245727539062,-122.380683898925781,13,0,18,18,-152.17254638671875,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
690,37.6123161315917969,-122.381553649902344,13,0,18,18,-152.1231689453125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
720,37.6110076904296875,-122.382423400878906,13,0,18,18,-151.872299194335938,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
750,37.6097030639648438,-122.38330078125,13,0,0,0,27.6729507446289062,0,110,ZOANC403M8,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
780,37.6089096069335938,-122.38226318359375,13,0,41.7222023010253906,41.7222023010253906,33.6268081665039062,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
810,37.6103363037109375,-122.381065368652344,13,0,83.4444046020507812,83.4444046020507812,33.6274757385253906,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
840,37.6146163940429688,-122.377471923828125,13,0,125.166610717773438,125.166610717773438,33.6303558349609375,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
870,37.6217498779296875,-122.371482849121094,13,0,166.888809204101562,166.888809204101562,33.6473350524902344,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF

AC,2,SWA1900,B733,KSFO,KPHX,266,1,30,33000,430,13,1135,433
270,37.6126327514648438,-122.390098571777344,13,0,0,0,-241.52911376953125,0,110,ZOANC403M8,FLIGHT_PHASE_ORIGIN_GATE
300,37.6126327514648438,-122.390098571777344,13,0,5,5,-241.469314575195312,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
330,37.6128273010253906,-122.390556335449219,13,0,5,5,-241.201141357421875,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
360,37.6130256652832031,-122.391014099121094,13,0,5,5,-151.957351684570312,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
390,37.612762451171875,-122.391288757324219,13,0,5,5,-161.725799560546875,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
420,37.6123924255371094,-122.391510009765625,13,0,5,5,-161.51025390625,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
450,37.6120033264160156,-122.391677856445312,13,0,5,5,148.203323364257812,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
480,37.6116294860839844,-122.391647338867188,13,0,5,5,148.191314697265625,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
510,37.6112823486328125,-122.391372680664062,13,0,5,5,148.363327026367188,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
540,37.610931396484375,-122.391098022460938,13,0,5,5,129.317276000976562,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
570,37.6106224060058594,-122.390769958496094,13,0,5,5,129.281936645507812,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
600,37.6103630065917969,-122.390365600585938,13,0,5,5,67.7571487426757812,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
630,37.6101837158203125,-122.38995361328125,13,0,5,5,67.8035659790039062,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
660,37.6103401184082031,-122.389472961425781,13,0,5,5,67.9013595581054688,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
690,37.6104965209960938,-122.388992309570312,13,0,5,5,43.2403831481933594,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
720,37.6107368469238281,-122.388587951660156,13,0,5,5,43.0049896240234375,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
750,37.6110382080078125,-122.388236999511719,13,0,18,18,116.734779357910156,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
780,37.6106910705566406,-122.387001037597656,13,0,18,18,116.687431335449219,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
810,37.6100273132324219,-122.385330200195312,13,0,18,18,-170.605545043945312,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
840,37.6090812683105469,-122.384445190429688,13,0,18,18,170.379013061523438,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
870,37.6076202392578125,-122.384475708007812,13,0,18,18,111.430259704589844,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
900,37.6065216064453125,-122.383338928222656,13,0,18,18,86.601959228515625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
930,37.6061744689941406,-122.381561279296875,13,0,18,18,27.1675701141357422,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
960,37.6071929931640625,-122.380462646484375,13,0,0,0,27.6800060272216797,0,110,ZOANC403M8,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
990,37.607452392578125,-122.380302429199219,13,0,41.7222023010253906,41.7222023010253906,27.7892303466796875,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
1020,37.6089668273925781,-122.379295349121094,13,0,83.4444046020507812,83.4444046020507812,27.7906646728515625,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
1050,37.6135139465332031,-122.376266479492188,13,0,125.166610717773438,125.166610717773438,27.7821941375732422,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
1080,37.62109375,-122.371223449707031,13,46.3246650695800781,166.888809204101562,166.888809204101562,27.7757301330566406,16.1157073974609375,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
1110,37.6327476501464844,-122.363471984863281,1402.739990234375,47.4118728637695312,164.63836669921875,164.63836669921875,3.38609218597412109,16.7368125915527344,110,ZOANC403M8,FLIGHT_PHASE_CLIMBOUT
1140,37.6307144165039062,-122.367774963378906,2825.09619140625,54.2091331481933594,185.977218627929688,185.977218627929688,3.38591170310974121,16.9467411041259766,110,ZOANC403M8,FLIGHT_PHASE_CLIMBOUT
1170,37.6453018188476562,-122.366683959960938,4451.3701171875,69.3262557983398438,235.607192993164062,235.607192993164062,3.38542962074279785,17.112274169921875,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
1200,37.6637649536132812,-122.365303039550781,6531.15771484375,79.2371444702148438,274.1246337890625,274.1246337890625,3.38379788398742676,16.8013973236083984,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
1230,37.6852836608886719,-122.363693237304688,8908.271484375,37.0043144226074219,284.08721923828125,284.08721923828125,-116.753204345703125,7.48443698883056641,107,ZOANC403M5,FLIGHT_PHASE_CLIMBOUT
1260,37.6754188537597656,-122.38934326171875,10018.400390625,72.9739303588867188,289.616424560546875,289.616424560546875,-116.768890380859375,14.5939693450927734,107,ZOANC403M5,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1290,37.6650466918945312,-122.415306091308594,12207.6181640625,69.69952392578125,357.0380859375,357.0380859375,-116.784431457519531,11.2573385238647461,106,ZOANC403M4,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1320,37.6520805358886719,-122.447738647460938,14298.603515625,64.9699249267578125,367.642333984375,367.642333984375,-116.8043212890625,10.1787948608398438,105,ZOANC403M3,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1350,37.638671875,-122.481239318847656,16247.701171875,60.3807487487792969,378.36236572265625,378.36236572265625,-116.824569702148438,9.18277740478515625,104,ZOANC403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1380,37.6248207092285156,-122.51580810546875,18059.123046875,55.8571205139160156,388.354736328125,388.354736328125,-116.845367431640625,8.26954174041748047,104,ZOANC403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1410,37.6105575561523438,-122.551361083984375,19734.8359375,51.8074798583984375,398.409027099609375,398.409027099609375,-116.866065979003906,7.47166681289672852,2513,ZOA1403M3,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1440,37.5958900451660156,-122.587890625,21289.060546875,48.0514373779296875,407.734375,407.734375,-116.888565063476562,6.76802825927734375,2513,ZOA1403M3,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1470,37.580841064453125,-122.625320434570312,22730.603515625,44.6285934448242188,416.748931884765625,416.748931884765625,-116.910423278808594,6.14744853973388672,2513,ZOA1403M3,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1500,37.5654296875,-122.663612365722656,24069.4609375,41.4988021850585938,425.451507568359375,425.451507568359375,-116.934150695800781,5.59756565093994141,2512,ZOA1403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1530,37.5496673583984375,-122.702720642089844,25314.42578125,38.4901390075683594,433.54376220703125,433.54376220703125,74.1788711547851562,5.09344148635864258,2512,ZOA1403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1560,37.5455589294433594,-122.70404052734375,26469.130859375,38.5925750732421875,441.283905029296875,441.283905029296875,74.19091796875,5.01722383499145508,2512,ZOA1403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1590,37.555389404296875,-122.66021728515625,27626.908203125,42.9342384338378906,449.38836669921875,449.38836669921875,74.2180404663085938,5.48235893249511719,2512,ZOA1403M2,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1620,37.5653762817382812,-122.615608215332031,28914.935546875,42.5034637451171875,450.170135498046875,450.170135498046875,74.2456436157226562,5.41773366928100586,2511,ZOA1403M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1650,37.5753631591796875,-122.570907592773438,30190.0390625,39.9532546997070312,447.61993408203125,447.61993408203125,74.2731704711914062,5.12086963653564453,2511,ZOA1403M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1680,37.5852813720703125,-122.526420593261719,31388.63671875,35.648956298828125,445.22271728515625,445.22271728515625,74.300048828125,4.59258604049682617,2511,ZOA1403M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1710,37.5951385498046875,-122.482131958007812,32458.10546875,18.0631504058837891,443.08380126953125,443.08380126953125,74.3281021118164062,2.33641839027404785,2511,ZOA1403M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
1740,37.6049537658691406,-122.437934875488281,33000,0,430,430,114.207344055175781,0,2511,ZOA1403M1,FLIGHT_PHASE_CRUISE
1770,37.5904655456542969,-122.39727783203125,33000,0,430,430,114.232162475585938,0,2511,ZOA1403M1,FLIGHT_PHASE_CRUISE
1800,37.5759620666503906,-122.356636047363281,33000,0,430,430,114.2569580078125,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1830,37.5614433288574219,-122.316009521484375,33000,0,430,430,114.281723022460938,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1860,37.5469131469726562,-122.275398254394531,33000,0,430,430,114.306488037109375,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1890,37.5323677062988281,-122.23480224609375,33000,0,430,430,114.331230163574219,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1920,37.5178070068359375,-122.194229125976562,33000,0,430,430,114.355941772460938,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1950,37.50323486328125,-122.153671264648438,33000,0,430,430,114.380638122558594,0,2505,ZOA3201M1,FLIGHT_PHASE_CRUISE
1980,37.4886474609375,-122.113128662109375,33000,0,430,430,114.405303955078125,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2010,37.4740447998046875,-122.072601318359375,33000,0,430,430,114.429954528808594,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2040,37.4594306945800781,-122.032089233398438,33000,0,430,430,114.454605102539062,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2070,37.4448013305664062,-121.991592407226562,33000,0,430,430,114.479232788085938,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2100,37.4301567077636719,-121.95111083984375,33000,0,430,430,114.503822326660156,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2130,37.4155006408691406,-121.91064453125,33000,0,430,430,114.528419494628906,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2160,37.4008293151855469,-121.870193481445312,33000,0,430,430,114.552986145019531,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2190,37.3861465454101562,-121.829757690429688,33000,0,430,430,114.577560424804688,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2220,37.3714485168457031,-121.789337158203125,33000,0,430,430,114.602104187011719,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2250,37.3567352294921875,-121.748931884765625,33000,0,430,430,114.626609802246094,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2280,37.342010498046875,-121.708541870117188,33000,0,430,430,114.651130676269531,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2310,37.3272705078125,-121.668174743652344,33000,0,430,430,114.67559814453125,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2340,37.3125190734863281,-121.627822875976562,33000,0,430,430,114.700065612792969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2370,37.2977523803710938,-121.587486267089844,33000,0,430,430,114.724502563476562,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2400,37.2829704284667969,-121.547164916992188,33000,0,430,430,114.748924255371094,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2430,37.2681770324707031,-121.506858825683594,33000,0,430,430,114.773338317871094,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2460,37.2533683776855469,-121.466567993164062,33000,0,430,430,114.797721862792969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2490,37.2385482788085938,-121.426292419433594,33000,0,430,430,114.822105407714844,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2520,37.2237129211425781,-121.386032104492188,33000,0,430,430,114.846458435058594,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2550,37.2088661193847656,-121.345787048339844,33000,0,430,430,114.870803833007812,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2580,37.1940040588378906,-121.305557250976562,33000,0,430,430,114.895133972167969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2610,37.1791267395019531,-121.265342712402344,33000,0,430,430,114.91943359375,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2640,37.1642379760742188,-121.225143432617188,33000,0,430,430,114.943740844726562,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2670,37.1493339538574219,-121.184959411621094,33000,0,430,430,114.967994689941406,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2700,37.1344184875488281,-121.144798278808594,33000,0,430,430,114.99224853515625,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2730,37.1194877624511719,-121.104652404785156,33000,0,430,430,115.016464233398438,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2760,37.1045455932617188,-121.064521789550781,33000,0,430,430,115.040687561035156,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2790,37.0895881652832031,-121.024406433105469,33000,0,430,430,115.06488037109375,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2820,37.0746192932128906,-120.984306335449219,33000,0,430,430,115.089057922363281,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2850,37.0596351623535156,-120.944221496582031,33000,0,430,430,115.113204956054688,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2880,37.0446395874023438,-120.904151916503906,33000,0,430,430,115.137374877929688,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2910,37.0296287536621094,-120.864097595214844,33000,0,430,430,115.1614990234375,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2940,37.0146026611328125,-120.824058532714844,33000,0,430,430,115.185592651367188,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
2970,36.9995651245117188,-120.784034729003906,33000,0,430,430,115.209693908691406,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3000,36.9845123291015625,-120.744026184082031,33000,0,430,430,115.233757019042969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3030,36.9694480895996094,-120.704032897949219,33000,0,430,430,115.257820129394531,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3060,36.9543685913085938,-120.664054870605469,33000,0,430,430,115.2818603515625,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3090,36.9392776489257812,-120.624099731445312,33000,0,430,430,115.305870056152344,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3120,36.9241714477539062,-120.584159851074219,33000,0,430,430,115.329849243164062,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3150,36.9090538024902344,-120.544235229492188,33000,0,430,430,115.353836059570312,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3180,36.8939208984375,-120.504325866699219,33000,0,430,430,115.377784729003906,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3210,36.8787765502929688,-120.464431762695312,33000,0,430,430,115.401725769042969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3240,36.863616943359375,-120.424552917480469,33000,0,430,430,115.425651550292969,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3270,36.8484458923339844,-120.384689331054688,33000,0,430,430,115.449554443359375,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3300,36.8332595825195312,-120.344841003417969,33000,0,430,430,115.473434448242188,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3330,36.8180618286132812,-120.305007934570312,33000,0,430,430,115.497306823730469,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3360,36.8028488159179688,-120.265190124511719,33000,0,430,430,115.521163940429688,0,2519,ZOA1301M1,FLIGHT_PHASE_CRUISE
3390,36.7876243591308594,-120.225387573242188,33000,0,430,430,115.545013427734375,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3420,36.7723846435546875,-120.185600280761719,33000,0,430,430,115.568824768066406,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3450,36.7571334838867188,-120.145828247070312,33000,0,430,430,115.592643737792969,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3480,36.7418708801269531,-120.106071472167969,33000,0,430,430,115.616439819335938,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3510,36.726593017578125,-120.066337585449219,33000,0,430,430,115.64019775390625,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3540,36.7113037109375,-120.026618957519531,33000,0,430,430,115.663955688476562,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3570,36.6959991455078125,-119.986915588378906,33000,0,430,430,115.687667846679688,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3600,36.6806831359863281,-119.947227478027344,33000,0,430,430,115.711380004882812,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3630,36.6653518676757812,-119.907554626464844,33000,0,430,430,115.735069274902344,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3660,36.6500091552734375,-119.867897033691406,33000,0,430,430,115.758758544921875,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3690,36.6346511840820312,-119.828254699707031,33000,0,430,430,115.782402038574219,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3720,36.6192817687988281,-119.788627624511719,33000,0,430,430,115.806045532226562,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3750,36.6038970947265625,-119.749015808105469,33000,0,430,430,115.82965087890625,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3780,36.5885009765625,-119.709419250488281,33000,0,430,430,115.853271484375,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3810,36.5730934143066406,-119.669837951660156,33000,0,430,430,115.876861572265625,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3840,36.5576705932617188,-119.630271911621094,33000,0,430,430,115.900444030761719,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3870,36.542236328125,-119.590721130371094,33000,0,430,430,115.924003601074219,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3900,36.5267868041992188,-119.551185607910156,33000,0,430,430,115.947540283203125,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3930,36.5113258361816406,-119.511672973632812,33000,0,430,430,115.971054077148438,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3960,36.4958534240722656,-119.472175598144531,33000,0,430,430,115.994544982910156,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
3990,36.4803657531738281,-119.432693481445312,33000,0,430,430,116.018013000488281,0,2509,ZOA1501M1,FLIGHT_PHASE_CRUISE
